name,coordinates,open_time,close_time,spending_time,slug_category,average_rating
eram-garden-shiraz,"[29.6360623, 52.5251428]",480,1230,120,urban_attractions,4.925925925925926
natural-history-technology-museum,"[29.5925335, 52.5721767]",480,840,120,urban_attractions,4.454545454545454
afif-abad-garden-military-museum,"[29.6231997, 52.4983724]",540,1080,120,urban_attractions,4.5
persepolis-of-shiraz,"[29.9355247, 52.89211299999999]",480,1050,120,urban_attractions,4.8933333333333335
nasir-al-mulk-mosque-shiraz,"[29.6085479, 52.5486555]",420,1020,120,urban_attractions,4.769230769230769
naqsh-e-rostam-shiraz,"[29.9885429, 52.8747317]",480,1110,120,urban_attractions,5.0
saraye-moshir-shiraz,"[29.6133452, 52.5455978]",540,1260,120,urban_attractions,4.846153846153846
arg-karimkhan-zand-of-shiraz,"[29.6174826, 52.5449802]",540,1260,120,urban_attractions,4.584905660377358
jahan-nama-garden-of-shiraz,"[29.6290154, 52.5573828]",510,1230,120,urban_attractions,4.6875
tomb-of-hafez-shiraz,"[29.6258231, 52.5578876]",480,1260,120,urban_attractions,4.9423076923076925
vakil-bazaar-of-shiraz,"[29.6140106, 52.5462429]",480,1260,120,urban_attractions,4.923076923076923
narenjestan-qavam-garden-of-shiraz,"[29.6080804, 52.5528616]",480,1260,120,urban_attractions,5.0
afif-abad-garden-shiraz,"[29.6278212, 52.5067912]",480,1140,120,urban_attractions,4.8108108108108105
derak-highland-park-shiraz,"[29.7011365, 52.4185205]",480,1380,120,natural_attractions,4.25
bakuya-restaurant-complex-shiraz,"[29.6355417, 52.5563805]",720,1440,60,food,3.65625
shater-mohamad-kebab-shop-shiraz,"[29.6322457, 52.5392262]",570,1530,60,food,3.0
sharze-restaurant-shiraz,"[29.615395, 52.5461665]",660,1365,60,food,4.068965517241379
manouchehri-garden-restaurant-shiraz,"[29.7773679, 52.4216184]",720,1440,60,food,3.5238095238095237
tin-restaurant-shiraz,"[29.6338634, 52.521683]",720,1380,60,food,3.0
joy-fastfood-shiraz,"[29.6777762, 52.4705212]",480,1440,60,food,3.8
street-lounge-cafe-shiraz,"[29.6780138, 52.459576]",540,1365,60,food,3.2666666666666666
joulep-cafe-restaurant-shiraz,"[29.6149242, 52.5449918]",480,1380,60,food,4.125
alto-board-game-cafe-shiraz,"[29.6374193, 52.461592]",1020,1440,60,food,4.333333333333333
khwaju-kermani-tomb-in-shiraz,"[29.63631, 52.5624337]",480,1440,120,urban_attractions,4.625
zinat-al-molk-historical-house-in-shiraz,"[29.6078952, 52.5513568]",480,1140,120,urban_attractions,4.823529411764706
khan-school,"[29.61159, 52.5473837]",420,1110,120,urban_attractions,4.833333333333333
vakil-mosque-of-shiraz,"[29.6143642, 52.5454873]",480,1230,120,urban_attractions,4.818181818181818
mahooni-cafe-shiraz,"[29.6289559, 52.5572158]",480,1380,60,food,3.727272727272727
atigh-cafe-restaurant-shiraz,"[29.6212122, 52.5393135]",750,1350,60,food,3.5714285714285716
shahrzad-cafe-shiraz,"[29.6344231, 52.4934623]",480,1380,60,food,4.0
berke-garden-cafe-shiraz,"[29.6251467, 52.4988085]",990,1410,60,food,3.888888888888889
zhon-cafe-shiraz,"[29.6372098, 52.4767418]",540,1440,60,food,4.5
hedayat-cafe-shiraz,"[29.62452, 52.5231988]",510,1440,60,food,3.7142857142857144
narenj-o-toranj-icecream-shiraz,"[29.6245562, 52.5279807]",480,1380,120,urban_attractions,4.125
baba-bastani-icecream-shiraz,"[29.6376647, 52.5319245]",540,1380,120,urban_attractions,3.4615384615384617
derak-icecream-shiraz,"[29.6399085, 52.4648392]",510,1425,120,urban_attractions,4.0
saadi-cinema-shiraz,"[29.6217717, 52.5221412]",690,1290,120,urban_attractions,3.6666666666666665
atigh-jameh-mosque-shiraz,"[29.6081332, 52.5445862]",480,1140,120,urban_attractions,4.291666666666667
tomb-of-saadi-shiraz,"[29.6224945, 52.5831789]",510,1410,120,urban_attractions,4.857142857142857
art-garden-shiraz,"[29.6196116, 52.5018952]",480,1380,120,urban_attractions,4.4
luna-amusement-park-shiraz,"[29.6353302, 52.5573888]",480,1440,120,urban_attractions,4.083333333333333
aftab-riding-club-shiraz,"[29.5320359, 52.5245582]",540,1380,120,urban_attractions,4.666666666666667
waterland-shiraz,"[29.5831353, 52.6408643]",600,1140,120,urban_attractions,3.5714285714285716
kowsar-sport-complex-in-shiraz,"[29.648098, 52.4576042]",420,1410,120,urban_attractions,3.5
zeytoon-fars-shopping-center-in-shiraz,"[29.6194705, 52.527878]",540,1320,180,shopping,3.875
commercial-complex-iran-in-shiraz,"[29.620979, 52.5223592]",480,1200,180,shopping,3.3333333333333335
gando-amusement-park-in-shiraz,"[29.6196075, 52.5276394]",1080,1440,120,urban_attractions,3.1
simorgh-paintball-club-in-shiraz,"[29.6519931, 52.4955523]",540,1200,120,urban_attractions,4.142857142857143
chamran-paintball-club-in-shiraz,"[29.6519421, 52.4956874]",540,1200,120,urban_attractions,4.666666666666667
arash-horse-club-in-shiraz,"[29.7413624, 52.4261003]",540,1260,120,urban_attractions,3.8333333333333335
honar-shahr-aftab-cineplex-in-shiraz,"[29.7571596, 52.4350297]",920,1440,120,urban_attractions,4.538461538461538
iran-land-recreation-center-in-shiraz,"[29.7572503, 52.4370565]",1020,1440,120,urban_attractions,4.642857142857143
bein-ol-haramein-commercial-complex-in-mashhad,"[29.607909, 52.5418328]",540,1320,180,shopping,4.4
yadegar-e-emam-swimming-pool-shiraz,"[29.6150388, 52.4785744]",660,1320,120,urban_attractions,4.2
enqelab-swimming-pool-shiraz,"[29.635635, 52.5119958]",540,1380,120,urban_attractions,4.5
laser-tag-club-shiraz,"[29.7535502, 52.4118652]",660,1380,120,urban_attractions,4.6
razm-ahang-riding-club-shiraz,"[29.5925843, 52.583749]",480,1320,120,urban_attractions,4.333333333333333
negin-fars-complex-shiraz,"[29.581606, 52.5058088]",420,1380,180,shopping,4.0
persian-gulf-complex-shiraz,"[29.7566354, 52.4339936]",480,1200,180,shopping,4.25
goldasht-shopping-center-shiraz,"[29.6858857, 52.4559671]",540,1320,180,shopping,3.6
gandi-shopping-center-shiraz,"[29.683648, 52.4668108]",540,1320,180,shopping,3.0
haji-bazaar-shiraz,"[29.613022, 52.5427515]",540,1260,180,shopping,3.5
shar-shab-shopping-center-shiraz,"[29.621086, 52.5364316]",540,1320,180,shopping,4.166666666666667
golestan-shopping-center-shiraz,"[29.6166151, 52.5695073]",600,1320,180,shopping,2.25
soltaniye-shopping-center-shiraz,"[29.629607, 52.4822068]",540,1320,180,shopping,3.5
hamoon-complex-shiraz,"[29.6228472, 52.5044268]",540,1380,180,shopping,4.0
aftab-fars-shopping-center-shiraz,"[29.6852413, 52.4717549]",600,1320,180,shopping,3.8
amiran-kebab-and-halim-in-shiraz,"[29.6823927, 52.4653552]",480,1440,60,food,4.0
khosha-shiraz-restaurant,"[29.734395, 52.4385078]",720,1440,60,food,3.230769230769231
vakil-traditional-restaurant-in-shiraz,"[29.6140241, 52.5442362]",690,1320,60,food,4.8
soofi-restaurant-in-shiraz,"[29.631374, 52.4951382]",690,1380,60,food,3.2142857142857144
tawe-restaurant-in-shiraz,"[29.6296833, 52.4965482]",480,1440,60,food,4.4
shams-ol-emareh-restaurant-in-shiraz,"[29.6380858, 52.5630233]",660,1440,60,food,2.3636363636363638
bell-passi-restaurant-in-shiraz,"[29.6354666, 52.53011]",600,1380,60,food,4.166666666666667
setareh-fars-shopping-center-in-shiraz,"[29.6271172, 52.5058268]",540,1380,180,shopping,4.111111111111111
sepehr-complex-in-shiraz,"[29.6250896, 52.5029158]",600,1380,180,shopping,4.0
anahita-shopping-center-in-shiraz,"[29.6258319, 52.5177903]",540,1320,180,shopping,3.75
aftab-shopping-center-in-shiraz,"[29.6833521, 29.6833521]",540,1380,180,shopping,4.5
elahieh-shopping-center-in-shiraz,"[29.6313119, 52.4790729]",600,1320,180,shopping,3.0
sina-shopping-center-in-shiraz,"[29.6351132, 52.4950282]",600,1320,180,shopping,4.2
berentin-restaurant-in-shiraz,"[29.6271492, 52.4995052]",750,1440,60,food,4.166666666666667
parhami-traditional-house-in-shiraz,"[29.6104982, 52.5490158]",720,1439,60,food,4.083333333333333
sarayeh-mehr-traditional-restaurant-in-shiraz,"[29.6130982, 52.5468732]",600,1320,60,food,4.571428571428571
haft-khan-restaurant-in-shiraz,"[29.6326667, 52.5566579]",390,1470,60,food,3.121212121212121
shah-abbasi-restaurant-in-shiraz,"[29.6198115, 52.543004]",960,1440,60,food,3.5714285714285716
tooba-restaurant-in-shiraz,"[29.679436, 52.4585382]",480,1440,60,food,3.142857142857143
pamchal-fast-food-in-shiraz,"[29.6249444, 52.5024711]",720,1440,60,food,4.166666666666667
shandiz-restaurant-in-shiraz,"[29.635627, 52.5571776]",720,1530,60,food,4.25
